CATEGORY,CORE,ARTWORK_PATH,BARCODE,GAME_PATH,GAME_NAME,METADATA
Treasure Co Ltd.,SMS.GG,gh-gg.jpg,4974365133498,./Game Gear/2 Japan - A-Z/Gunstar Heroes (Japan).gg,,
Treasure Co Ltd.,GENESIS,mcdonald-treasure.jpg,10086010671,./1 US - G-P/McDonald's Treasure Land Adventure (USA).md,,
Treasure Co Ltd.,PSX,rakugaki-showtime.jpg,4988601003247,./Rakugaki Showtime (Japan).cue,,
Treasure Co Ltd.,PSX,silhouette-mirage.jpg,735366007287,./Silhouette Mirage (USA).cue,,
Treasure Co Ltd.,GENESIS,yuuyuuhakusho.png,4974365541224,./4 Translations/Yuu Yuu Hakusho - Makyou Toitsusen Dual Language (J) T+Eng v1 MIJET.md,Yuu Yuu Hakusho - Makyou Toitusen,
Treasure Co Ltd.,SATURN,radiant-silvergun.png,4534373100020,Radiant Silvergun (Japan).cue,,
Treasure Co Ltd.,GBA,gunstar-super-heroes.jpg,10086600292,./1 USA - D-H/Gunstar Super Heroes (USA).gba,,
Treasure Co Ltd.,GBA,astroboy.jpg,10086600278,"./1 USA - A-C/Astro Boy - Omega Factor (USA) (En,Ja,Fr,De,Es,It).gba",Astro Boy - Omega Factor,
HAL Laboratories,NES,airfortress.jpg,40458036077,./1 US - A-F/Air Fortress (USA).nes,,
HAL Laboratories,NES,eggerland.jpg,4988610101118,./2 Japan - A-Z/Japan E-J/Eggerland - Meikyuu no Fukkatsu (Japan).nes,,
HAL Laboratories,NES,lolo.jpg,40458011050,./1 US - A-F/Adventures of Lolo (USA).nes,,
HAL Laboratories,NES,lolo2.jpg,40458011081,./1 US - A-F/Adventures of Lolo 2 (USA).nes,,
HAL Laboratories,NES,lolo3.jpg,40458033120,./1 US - A-F/Adventures of Lolo 3 (USA).nes,,
HAL Laboratories,NES,lolo-ii.jpg,660000000006,./2 Japan - A-Z/Japan A-D/Adventures of Lolo II (Japan).nes,,
HAL Laboratories,NES,lolo-i.jpg,670000000005,./2 Japan - A-Z/Japan A-D/Adventures of Lolo (Japan).nes,,
HAL Laboratories,NES,newghostbusters-ii.jpg,680000000004,./2 Japan - A-Z/Japan K-O/New Ghostbusters II (Japan).nes,,
HAL Laboratories,GAMEBOY.COL,pokemonpinball.jpg,45496730901,./1 Game Boy Color/1 GBC US - M-Z/Pokemon Pinball (USA) (Rumble Version) (SGB Enhanced).gbc,,
HAL Laboratories,NES,mother.png,690000000003,./4 Hacks/Hacks K-O/Mother 25th Anniversary Edition (EarthBound Proto Hack_DragonDePlatino) v1.11.nes,Mother 25th Anniversary Edition,
HAL Laboratories,SNES,earthbound.jpg,45496830434,./1 US - A-E/EarthBound (USA).sfc,,
HAL Laboratories,GBA,mother3.jpg,710000000008,./4 Translations/Mother 3 (J) T+Eng v1.2.gba,Mother 3 (English),
Midway-Williams,PSX,mkt.jpg,31719269624,./Mortal Kombat Trilogy (USA) (v1.1).cue,Mortal Kombat Trilogy,
Midway-Williams,GENESIS,nbajam.jpg,21481800125,./1 US - G-P/NBA Jam - Tournament Edition (World).md ,,
Midway-Williams,ARCADE,tapper.png,720000000007,"Tapper (Budweiser, 840127).mra",Tapper,
Midway-Williams,SNES,mk2-snes.jpg,21481620051,./1 US - F-M/Mortal Kombat II (USA) (Rev 1).sfc,,
Midway-Williams,GENESIS,mk3-gen.jpg,31719209446,./1 US - G-P/Mortal Kombat 3 (USA).md,,
Midway-Williams,GENESIS,mk-gen.jpg,734549001081,./1 US - G-P/Mortal Kombat (World).md,,
Midway-Williams,PSX,mk4.jpg,31719268016,Mortal Kombat 4.cue,,
SEGA,S32X,space-harrier.jpg,730000000006,"./1 US - A-Z/Space Harrier (Japan, USA).32x",,
SEGA,ARCADE,outrun.jpg,740000000005,??????????????,OutRun (Arcade),
SEGA,ARCADE,super-hang-on.jpg,750000000004,?????????????,Super Hang-On (Arcade),
SEGA,SMS,ninja-gaiden-sms.jpg,4974365671013,"./Game Gear/1 US - A-Z/Ninja Gaiden (USA, Europe).gg",,
SEGA,GENESIS,kid-cham.jpg,10086010107,"./1 US - G-P/Kid Chameleon (USA, Europe).md",,
SEGA,GENESIS,comix-zone.jpg,10086015690,./1 US - A-F/Comix Zone (USA).md,,
SEGA,GENESIS,sonic2.jpg,10086010510,./1 US - Q-Z/Sonic the Hedgehog 2 (World) (Rev A).md,,
SEGA,GENESIS,eternal-champions.jpg,10086011456,./1 US - A-F/Eternal Champions (USA).md,,
SEGA,MEGACD,eternal-champions-cd.jpg,10086044270,Eternal Champions (U).cue,,
SEGA,S32X,knuckles-chaotix.jpg,10066645037,"./1 US - A-Z/Knuckles' Chaotix (Japan, USA).32x",,
SEGA,MEGACD,ecco-the-dolphin-cd.jpg,10086044089,./Ecco the Dolphin (U).cue,,
Techno Soft,GENESIS,tfii.jpg,10086010008,"./1 US - Q-Z/Thunder Force II (USA, Europe).md",,
Techno Soft,GENESIS,tfiii.jpg,93455100067,"./1 US - Q-Z/Thunder Force III (Japan, USA).md",,
Techno Soft,GENESIS,tfiv.jpg,4974365611439,./2 Japan - A-Z/Japan - P-Z/Thunder Force IV (Japan).md,,
Techno Soft,PSX,tfv.jpg,735366007270,./Thunder Force V - Perfect System (USA).cue,,
Techno Soft,GENESIS,herzog-zwei.jpg,10086014006,"./1 US - G-P/Herzog Zwei (USA, Europe).md",,
Techno Soft,GENESIS,devil-crash-md.jpg,4907095000389,./2 Japan - A-Z/Japan - A-O/Devil Crash MD (Japan).md,,
Techno Soft,GENESIS,elemental-master.jpg,720238103006,./1 US - A-F/Elemental Master (USA).md,,
Tecmo,ARCADE,solomons-key.png,760000000003,Solomon's Key.mra,,
Tecmo,ARCADE,rygar.jpg,770000000002,./Rygar.mra,,
Tecmo,ARCADE,silkworm.png,780000000001,./Silkworm.mra,,
Tecmo,NES,starforce.jpg,18946110042,./1 US - R-Z/Star Force (USA).nes,,
Masaya,GENESIS,gleylancer.jpg,4988616003102,./2 Japan - A-Z/Japan - A-O/Advanced Busterhawk Gleylancer (Japan).md,,
Masaya,TGFX16-CD,cho-aniki-pcecd.jpg,4988616002112,./Chou_Aniki_(NTSC-J)_[NSCD2013].cue,Chō Aniki,
Masaya,PSX,cho-aniki-psx.jpg,4988616010018,./Cho Aniki.cue,Chō Aniki: Kyūkyoku Muteki Ginga Saikyō Otoko,
Masaya,TGFX16-CD,ai-cho-aniki.png,4988616002174,./Ai_Chou_Aniki_(NTSC-J)_[NSCD5018].cue,Ai Chō Aniki,
